address,ZRXSupplyInterest,ZRXBorrowInterest,BATSupplyInterest,BATBorrowInterest,REPSupplyInterest,REPBorrowInterest,WETHSupplyInterest,WETHBorrowInterest,SAISupplyInterest,SAIBorrowInterest,ETHSupplyInterest,ETHBorrowInterest,USDCSupplyInterest,USDCBorrowInterest,WBTCSupplyInterest,WBTCBorrowInterest,DAISupplyInterest,DAIBorrowInterest
0x00ba434eDeCCf437b6cCd423Ce61391697fc0093,0.0,0.0,0.0,0.04408546300954199,0.0,0.0,1.0991541562619067,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0x00c8Bf90e55fb2B5242ecd147Cf638f2F94A45d9,0.7235720128414076,0.0,0.0,0.0,0.006962980652286347,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0x00f9d5846B8F6c5F2dC87478c76F8eF72d4ac9f6,0.0,0.0,1.1219892227712622e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0x01085675542eB3F240c75fec89beA9A0698a2458,0.0,0.0,0.0,0.0,0.0,0.0,6.656520725679652,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0x010afb8548a5D1a3a3D62f58CA0a5A1329974206,0.0,0.0,0.0,0.0,0.0,0.0,0.15414668374867282,9.043458573802786e-06,6.0206852990481154,0.0,0,0,0,0,0,0,0,0
0x0118289457E9Fd02C05E37e27a11bD09d3500021,22.81497722220055,0.0,0.0,0.0,0.0,0.0,2.652189946345967,0.0,709.0877893361046,10.055748913362786,0,0,0,0,0,0,0,0
0x012a23725c8CD1cF5FD038d0D37880A5925DaD81,0.006424268522178163,0.0,9.5081026929003e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0x014a4bE3c906C00E6a9dC346B56AFBb213107C51,0.0,0.002194680791815652,0.0,0.0,0.0,0.0,0.00032060330978074205,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0x015C55e6d0271d03C1880229704E82273DC2b4c4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0x0174bED89609e1dE43df66Dd480DC2E97cEf2Cf2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050527287799669904,0.0,0,0,0,0,0,0,0,0
0x0179a7cFE2016d639CD55E73Adb85B65615d6115,0.0003592334158422005,0.0,0.002636199915328386,0.0,0.0,0.0,0.0,0.0,0.0005950334593026573,0.0,0,0,0,0,0,0,0,0
0x017b55d706458773a2CdE810DE6646d6DA6afEdc,0.11214891074159265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46310483038974126,0.0,0,0,0,0,0,0,0,0
0x0186D975cfE19772e58f4d314a52984b31a2cbEb,0.0,0.0,0.0,0.0,0.0,0.0,0.985571726127439,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0x01A45F7fbf7453092e49B6db137568F9cfAB8ead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0x01C883f98F22A946Ba79a0Ebfb7fA3C17266eF7b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0x01D61837C936F43C790260443a9a39D8627d4565,0.022796575934046298,0.0,0.004399296591573103,0.0,0.0,0.0,0.0019906271549104916,0.0,0.553915924355875,0.0,0,0,0,0,0,0,0,0
0x01E6d28d21B6ac49686035D846E406F8958Ea4Ee,0.0,0.0,0.0,0.0,0.0,0.3720344319363025,0.03799419666055085,0.0,1.0722284344103215,0.0,0,0,0,0,0,0,0,0
0x01F18a3496448711Db5706047e1726781966ec3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.318249917952403e-07,0.0,0,0,0,0,0,0,0,0
